,,,,,Deaths,,,,,,,,,,,DALYs,,,,,,,,,,,HYL,,,,,,,,,,,YLD,,,,,,,,,,,Prevalence,,,,,,,,,
Country Name,Income Status,ISO3,GBD Code,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10
Jordan,UMIC,JOR,144,,"14,581,063","14,571,390","14,574,642","14,535,839","14,575,827",,,,,,,"504,464,105","504,101,087","504,169,481","499,380,331","502,440,646",,,,,,,"1,115,003,626","1,115,368,789","1,115,279,957","1,120,015,409","1,117,021,980",,,,,,,"198,200,646","198,308,767","198,257,546","195,399,537","196,416,720",,,,,,,"1,313,204,271","1,313,677,555","1,313,537,504","1,315,414,946","1,313,438,701",,,,,
Kazakhstan,UMIC,KAZ,36,,"26,895,217","26,874,476","26,874,977","26,787,626","26,894,419",,,,,,,"945,594,589","944,940,513","944,883,230","936,825,452","942,655,342",,,,,,,"2,166,935,011","2,167,489,522","2,167,530,549","2,175,121,433","2,169,865,114",,,,,,,"332,851,445","333,037,865","333,011,174","328,595,524","329,985,066",,,,,,,"2,499,786,457","2,500,527,387","2,500,541,723","2,503,716,957","2,499,850,180",,,,,
Kenya,LMIC,KEN,180,,"108,151,785","108,133,431","108,144,287","108,063,065","108,126,986",,,,,,,"4,766,218,160","4,765,225,631","4,765,818,667","4,755,014,326","4,761,069,967",,,,,,,"8,948,861,135","8,949,677,700","8,949,188,853","8,959,298,963","8,953,804,639",,,,,,,"1,502,248,779","1,502,492,999","1,502,322,436","1,496,675,465","1,498,680,435",,,,,,,"10,451,109,914","10,452,170,699","10,451,511,289","10,455,974,428","10,452,485,074",,,,,
Liberia,LIC,LBR,210,,"12,863,543","12,860,502","12,862,131","12,850,955","12,860,995",,,,,,,"649,468,380","649,310,327","649,394,587","487,917,996","648,667,047",,,,,,,"1,060,583,158","1,060,721,075","1,060,645,445","1,062,265,469","1,061,357,514",,,,,,,"173,328,213","173,374,372","173,345,090","172,355,945","172,692,602",,,,,,,"1,233,911,371","1,234,095,448","1,233,990,535","1,234,621,414","1,234,050,116",,,,,
Madagascar,LIC,MDG,181,,"66,800,109","66,783,655","66,794,076","66,729,430","66,781,391",,,,,,,"3,315,565,719","3,314,868,755","3,315,298,502","2,537,349,074","3,312,295,957",,,,,,,"6,376,272,988","6,376,768,951","6,376,470,735","6,382,675,617","6,379,318,719",,,,,,,"987,062,209","987,212,435","987,103,468","983,460,166","984,773,023",,,,,,,"7,363,335,197","7,363,981,386","7,363,574,203","7,366,135,783","7,364,091,743",,,,,
Malawi,LIC,MWI,182,,"48,795,782","48,786,367","48,791,584","48,751,775","48,784,609",,,,,,,"2,395,778,231","2,395,224,072","2,395,554,292","1,782,014,171","2,393,042,344",,,,,,,"4,391,090,782","4,391,516,352","4,391,265,212","4,396,582,969","4,393,692,658",,,,,,,"686,622,501","686,749,611","686,661,637","683,488,949","684,624,975",,,,,,,"5,077,713,283","5,078,265,963","5,077,926,849","5,080,071,918","5,078,317,633",,,,,
Malaysia,UMIC,MYS,13,,"38,255,335","38,204,664","38,231,293","38,104,211","38,251,025",,,,,,,"1,294,208,222","1,293,155,434","1,293,568,541","1,282,136,780","1,289,234,612",,,,,,,"2,942,070,667","2,942,955,687","2,942,620,001","2,953,568,607","2,947,007,372",,,,,,,"513,896,193","514,178,687","514,048,542","506,669,617","509,203,253",,,,,,,"3,455,966,860","3,457,134,374","3,456,668,544","3,460,238,223","3,456,210,625",,,,,
Mali,LIC,MLI,211,,"74,627,305","74,622,161","74,624,440","74,596,493","74,618,191",,,,,,,"4,294,290,054","4,293,843,323","4,294,076,057","3,086,950,171","4,291,607,963",,,,,,,"5,701,942,683","5,702,320,075","5,702,118,851","5,707,259,129","5,704,475,043",,,,,,,"861,445,134","861,555,463","861,481,774","858,370,704","859,488,536",,,,,,,"6,563,387,817","6,563,875,538","6,563,600,625","6,565,629,833","6,563,963,580",,,,,
Mexico,UMIC,MEX,130,,"158,211,254","158,068,648","158,123,767","157,307,914","157,987,627",,,,,,,"5,501,905,778","5,497,690,860","5,498,550,465","5,428,385,829","5,470,021,160",,,,,,,"11,616,737,952","11,620,255,951","11,619,606,192","11,685,656,175","11,647,511,410",,,,,,,"1,921,716,618","1,922,052,208","1,921,696,658","1,880,234,421","1,897,947,361",,,,,,,"13,538,454,570","13,542,308,158","13,541,302,850","13,565,890,595","13,545,458,771",,,,,
Morocco,LMIC,MAR,148,,"49,830,618","49,799,840","49,807,983","49,691,976","49,822,384",,,,,,,"1,605,450,782","1,604,217,654","1,604,416,934","1,587,897,813","1,598,537,946",,,,,,,"3,635,078,592","3,636,504,354","3,636,129,481","3,652,832,928","3,641,940,301",,,,,,,"680,472,768","680,965,575","680,761,063","670,866,125","674,105,470",,,,,,,"4,315,551,360","4,317,469,929","4,316,890,544","4,323,699,053","4,316,045,771",,,,,
Mozambique,LIC,MOZ,184,,"91,152,632","91,138,551","91,146,513","91,072,266","91,126,832",,,,,,,"4,776,758,915","4,775,873,931","4,776,409,809","3,566,907,855","4,771,875,081",,,,,,,"8,299,134,480","8,299,780,483","8,299,398,721","8,308,337,071","8,303,600,359",,,,,,,"1,256,874,351","1,257,036,764","1,256,920,687","1,251,868,971","1,253,738,994",,,,,,,"9,556,008,831","9,556,817,247","9,556,319,408","9,560,206,041","9,557,339,354",,,,,
Myanmar,LMIC,MMR,15,,"83,071,479","83,063,001","83,065,310","83,007,025","83,052,915",,,,,,,"2,904,582,124","2,903,936,316","2,904,088,689","2,890,179,554","2,897,651,862",,,,,,,"4,813,967,863","4,814,758,200","4,814,506,078","4,828,698,947","4,820,896,460",,,,,,,"785,337,831","785,454,860","785,381,310","776,847,939","780,224,382",,,,,,,"5,599,305,694","5,600,213,060","5,599,887,388","5,605,546,885","5,601,120,842",,,,,
Nepal,LMIC,NPL,164,,"40,498,127","40,493,120","40,496,422","40,477,538","40,492,593",,,,,,,"1,350,485,954","1,350,207,902","1,350,378,430","1,343,358,895","1,346,644,604",,,,,,,"2,319,702,371","2,320,008,909","2,319,812,752","2,326,979,220","2,323,608,525",,,,,,,"466,876,256","466,994,033","466,912,779","461,211,927","463,364,353",,,,,,,"2,786,578,627","2,787,002,942","2,786,725,531","2,788,191,147","2,786,972,877",,,,,
Niger,LIC,NER,213,,"116,948,022","116,937,083","116,942,892","116,886,703","116,929,280",,,,,,,"7,394,946,556","7,394,349,039","7,394,683,639","5,507,846,681","7,391,648,289",,,,,,,"11,412,421,753","11,412,834,204","11,412,607,162","11,418,527,056","11,415,384,704",,,,,,,"1,583,754,526","1,583,861,656","1,583,787,622","1,580,238,074","1,581,543,576",,,,,,,"12,996,176,279","12,996,695,860","12,996,394,783","12,998,765,130","12,996,928,281",,,,,
Nigeria,LMIC,NGA,214,,"757,162,306","757,154,582","757,153,997","757,071,460","757,129,557",,,,,,,"43,278,017,077","43,275,630,470","43,276,894,404","43,244,656,371","43,262,070,702",,,,,,,"48,915,471,576","48,917,590,219","48,916,438,844","48,947,022,041","48,930,781,457",,,,,,,"7,232,772,362","7,233,315,609","7,232,949,664","7,214,163,051","7,221,076,331",,,,,,,"56,148,243,939","56,150,905,828","56,149,388,508","56,161,185,093","56,151,857,788",,,,,
Pakistan,LMIC,PAK,165,,"417,715,003","417,646,337","417,693,894","417,223,650","417,509,083",,,,,,,"18,088,204,711","18,085,101,434","18,087,078,162","18,004,698,108","18,042,703,037",,,,,,,"31,087,731,439","31,090,433,277","31,088,697,847","31,168,323,864","31,132,047,624",,,,,,,"5,304,804,609","5,305,579,755","5,304,998,884","5,250,113,389","5,271,380,583",,,,,,,"36,392,536,048","36,396,013,032","36,393,696,731","36,418,437,253","36,403,428,207",,,,,
Peru,UMIC,PER,123,,"37,341,842","37,318,205","37,326,584","37,232,933","37,327,813",,,,,,,"1,310,811,984","1,310,346,156","1,310,416,210","1,303,293,753","1,307,646,032",,,,,,,"3,122,618,363","3,123,013,138","3,122,947,915","3,129,671,637","3,125,708,170",,,,,,,"519,975,562","520,061,352","520,037,550","515,652,194","517,299,991",,,,,,,"3,642,593,924","3,643,074,490","3,642,985,466","3,645,323,831","3,643,008,162",,,,,
Philippines,LMIC,PHL,16,,"159,713,474","159,650,620","159,678,311","159,362,925","159,626,542",,,,,,,"5,952,658,279","5,951,012,928","5,951,520,323","5,924,517,758","5,939,765,999",,,,,,,"12,132,136,059","12,133,630,030","12,133,136,330","12,158,638,020","12,144,466,787",,,,,,,"1,884,223,864","1,884,473,956","1,884,332,060","1,869,465,895","1,875,249,015",,,,,,,"14,016,359,923","14,018,103,987","14,017,468,390","14,028,103,915","14,019,715,802",,,,,
Russian Federation,UMIC,RUS,62,,"167,903,573","167,844,945","167,814,952","167,456,769","167,913,249",,,,,,,"5,255,511,067","5,253,436,642","5,251,979,072","5,225,969,332","5,249,234,932",,,,,,,"9,975,938,940","9,977,807,943","9,979,108,991","10,003,782,090","9,982,253,846",,,,,,,"1,634,883,800","1,635,570,971","1,635,809,714","1,626,693,891","1,628,131,088",,,,,,,"11,610,822,740","11,613,378,915","11,614,918,704","11,630,475,982","11,610,384,934",,,,,
Rwanda,LIC,RWA,185,,"27,968,211","27,962,104","27,965,762","27,937,891","27,959,377",,,,,,,"1,247,023,577","1,246,736,509","1,246,907,386","970,367,989","1,245,562,549",,,,,,,"2,542,089,977","2,542,320,721","2,542,183,383","2,545,014,407","2,543,470,985",,,,,,,"421,310,114","421,373,269","421,328,678","419,805,344","420,351,216",,,,,,,"2,963,400,091","2,963,693,990","2,963,512,061","2,964,819,751","2,963,822,200",,,,,
Sierra Leone,LIC,SLE,217,,"20,643,824","20,643,034","20,643,377","20,638,275","20,641,998",,,,,,,"1,062,132,008","1,062,067,875","1,062,099,882","703,268,105","1,061,670,715",,,,,,,"1,181,697,886","1,181,758,816","1,181,727,262","1,182,614,529","1,182,139,075",,,,,,,"190,521,576","190,536,895","190,526,566","190,032,686","190,213,446",,,,,,,"1,372,219,462","1,372,295,711","1,372,253,828","1,372,647,215","1,372,352,521",,,,,
Somalia,LIC,SOM,187,,"69,827,626","69,818,361","69,824,225","69,778,775","69,811,638",,,,,,,"4,341,799,036","4,341,346,003","4,341,633,112","3,074,334,605","4,339,412,022",,,,,,,"5,123,115,677","5,123,416,228","5,123,232,718","5,127,454,573","5,125,244,113",,,,,,,"720,197,483","720,269,624","720,213,575","717,790,780","718,705,264",,,,,,,"5,843,313,160","5,843,685,852","5,843,446,293","5,845,245,352","5,843,949,377",,,,,
