,,,,,Deaths,,,,DALYs,,,,HYL,,,,YLD,,,,Prevalence,,
Country Name,Income Status,ISO3,GBD Code,,CRNullCOPD,CR2,CR4,,Null,CR2,CR4,,Null,CR1,CR3,,Null,CR1,CR3,,Null,CR1,CR3
Sierra Leone,LIC,SLE,217,,"20,611,347","20,611,347","20,611,347",,"1,060,022,938","1,059,716,210","1,058,466,181",,"1,183,548,504","1,183,855,232","1,185,105,261",,"191,565,122","191,258,394","190,008,365",,"1,375,113,626","1,375,113,626","1,375,113,626"
Somalia,LIC,SOM,187,,"69,568,194","69,568,194","69,568,194",,"4,323,539,201","4,322,733,174","4,319,450,278",,"5,136,780,814","5,137,586,841","5,140,869,737",,"717,818,373","717,012,346","713,729,450",,"5,854,599,187","5,854,599,187","5,854,599,187"
South Africa,UMIC,ZAF,196,,"96,299,182","96,299,182","96,299,182",,"3,637,551,434","3,635,138,274","3,624,617,493",,"6,039,370,839","6,041,784,000","6,052,304,781",,"1,054,132,271","1,051,719,111","1,041,198,329",,"7,093,503,111","7,093,503,111","7,093,503,111"
South Sudan,LIC,SSD,435,,"31,810,656","31,810,656","31,810,656",,"1,717,104,262","1,716,624,241","1,714,669,120",,"2,230,364,357","2,230,844,378","2,232,799,499",,"342,542,475","342,062,454","340,107,333",,"2,572,906,832","2,572,906,832","2,572,906,832"
Sri Lanka,LMIC,LKA,17,,"24,487,785","24,487,785","24,487,785",,"752,331,869","751,390,173","748,137,553",,"1,742,441,334","1,743,383,030","1,746,635,650",,"295,075,717","294,134,021","290,881,401",,"2,037,517,051","2,037,517,051","2,037,517,051"
Sudan,LIC,SDN,522,,"106,659,504","106,659,504","106,659,504",,"5,504,913,169","5,502,615,442","5,493,258,284",,"9,373,569,794","9,375,867,521","9,385,224,679",,"1,462,530,632","1,460,232,905","1,450,875,747",,"10,836,100,426","10,836,100,426","10,836,100,426"
Syrian Arab Republic,LIC,SYR,153,,"27,412,503","27,412,503","27,412,503",,"1,058,996,277","1,058,244,407","1,055,693,689",,"2,426,512,784","2,427,264,654","2,429,815,373",,"374,075,763","373,323,892","370,773,174",,"2,800,588,547","2,800,588,547","2,800,588,547"
Tajikistan,LIC,TJK,39,,"19,552,003","19,552,003","19,552,003",,"769,839,471","769,410,280","767,816,080",,"1,990,453,667","1,990,882,857","1,992,477,057",,"250,915,940","250,486,749","248,892,550",,"2,241,369,606","2,241,369,606","2,241,369,606"
Thailand,UMIC,THA,18,,"65,113,839","65,113,839","65,113,839",,"1,998,285,421","1,996,086,878","1,988,354,788",,"4,246,282,646","4,248,481,189","4,256,213,279",,"768,574,048","766,375,505","758,643,415",,"5,014,856,694","5,014,856,694","5,014,856,694"
Togo,LIC,TGO,218,,"22,998,619","22,998,619","22,998,619",,"1,177,914,873","1,177,457,474","1,175,594,729",,"1,776,257,921","1,776,715,320","1,778,578,064",,"279,089,072","278,631,673","276,768,928",,"2,055,346,993","2,055,346,993","2,055,346,993"
Turkey,UMIC,TUR,155,,"95,484,354","95,484,354","95,484,354",,"3,135,683,625","3,129,943,993","3,109,764,025",,"7,288,670,337","7,294,409,969","7,314,589,936",,"1,327,820,746","1,322,081,114","1,301,901,146",,"8,616,491,083","8,616,491,083","8,616,491,083"
Uganda,LIC,UGA,190,,"116,501,940","116,501,940","116,501,940",,"5,595,100,295","5,593,018,177","5,584,538,766",,"9,639,984,192","9,642,066,311","9,650,545,721",,"1,521,998,693","1,519,916,575","1,511,437,164",,"11,161,982,886","11,161,982,886","11,161,982,886"
Ukraine,LMIC,UKR,63,,"50,124,585","50,124,585","50,124,585",,"1,395,712,584","1,394,684,107","1,391,538,235",,"2,437,457,411","2,438,485,888","2,441,631,760",,"405,182,529","404,154,052","401,008,180",,"2,842,639,940","2,842,639,940","2,842,639,940"
United Republic of Tanzania,LMIC,TZA,189,,"176,336,961","176,336,961","176,336,961",,"9,435,504,393","9,432,794,187","9,421,377,281",,"18,348,581,297","18,351,291,503","18,362,708,409",,"2,677,161,338","2,674,451,132","2,663,034,226",,21025742635,21025742635,"21,025,742,635"
Uzbekistan,LMIC,UZB,41,,"50,303,346","50,303,346","50,303,346",,"1,658,104,677","1,657,150,744","1,653,519,608",,"3,635,700,566","3,636,654,500","3,640,285,635",,"531,553,016","530,599,083","526,967,948",,4167253583,4167253583,"4,167,253,583"
Viet Nam,LMIC,VNM,20,,"109,095,123","109,095,123","109,095,123",,"3,784,900,977","3,779,582,023","3,761,208,409",,"8,385,266,087","8,390,585,041","8,408,958,655",,"1,380,684,888","1,375,365,934","1,356,992,320",,9765950975,9765950975,"9,765,950,975"
Yemen,LIC,YEM,157,,"58,705,310","58,705,310","58,705,310",,"2,407,829,943","2,406,585,372","2,402,362,450",,"4,416,243,858","4,417,488,429","4,421,711,352",,"648,012,091","646,767,519","642,544,597",,5064255949,5064255949,"5,064,255,949"
