observation,age,value,region,sex
StdGlycControl -> DiabeticNephropathy,20_24,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,25_29,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,30_39,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,40_49,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,50_59,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,60_69,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,70_79,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,80_100,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,0_4,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,5_9,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,10_14,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,15_19,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,20_24,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,25_29,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,30_39,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,40_49,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,50_59,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,60_69,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,70_79,-65.0,Andean Latin America,M
IntsvGlycControl -> DiabeticRetinopathy,80_100,-65.0,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,0_4,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,5_9,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,10_14,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,15_19,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,20_24,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,25_29,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,30_39,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,40_49,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,50_59,-15.1,Andean Latin America,M
