timestamp,author,element_label,value
2077-01-01,avenir,Deceased,823010
2078-01-01,avenir,Deceased,842745
2079-01-01,avenir,Deceased,859850
2080-01-01,avenir,Deceased,877575
2081-01-01,avenir,Deceased,894456
2082-01-01,avenir,Deceased,910219
2083-01-01,avenir,Deceased,927037
2084-01-01,avenir,Deceased,942899
2085-01-01,avenir,Deceased,957216
2086-01-01,avenir,Deceased,970206
2087-01-01,avenir,Deceased,982097
2088-01-01,avenir,Deceased,995519
2089-01-01,avenir,Deceased,1003795
2090-01-01,avenir,Deceased,1013557
2091-01-01,avenir,Deceased,1023067
2092-01-01,avenir,Deceased,1030355
2093-01-01,avenir,Deceased,1038535
2094-01-01,avenir,Deceased,1046531
2095-01-01,avenir,Deceased,1053106
2096-01-01,avenir,Deceased,1060092
2097-01-01,avenir,Deceased,1065564
2098-01-01,avenir,Deceased,1070233
2099-01-01,avenir,Deceased,1074841
2100-01-01,avenir,Deceased,1081552
2101-01-01,avenir,Deceased,1087374
2102-01-01,avenir,Deceased,1092418
2103-01-01,avenir,Deceased,1096802
2104-01-01,avenir,Deceased,1100640
2105-01-01,avenir,Deceased,1104011
2106-01-01,avenir,Deceased,1106935
2107-01-01,avenir,Deceased,1109425
2108-01-01,avenir,Deceased,1111497
2109-01-01,avenir,Deceased,1113170
2110-01-01,avenir,Deceased,1114295
2111-01-01,avenir,Deceased,1115048
2112-01-01,avenir,Deceased,1115463
2113-01-01,avenir,Deceased,1115579
2114-01-01,avenir,Deceased,1115451
2115-01-01,avenir,Deceased,1115128
2116-01-01,avenir,Deceased,1114637
2117-01-01,avenir,Deceased,1114001
2118-01-01,avenir,Deceased,1113242
2119-01-01,avenir,Deceased,1112378
2019-01-01,avenir,DsFreeSus -> COPDEpsd,26495
2020-01-01,avenir,DsFreeSus -> COPDEpsd,27447
2021-01-01,avenir,DsFreeSus -> COPDEpsd,28478
2022-01-01,avenir,DsFreeSus -> COPDEpsd,29511
2023-01-01,avenir,DsFreeSus -> COPDEpsd,30592
2024-01-01,avenir,DsFreeSus -> COPDEpsd,31685
2025-01-01,avenir,DsFreeSus -> COPDEpsd,32795
2026-01-01,avenir,DsFreeSus -> COPDEpsd,33925
2027-01-01,avenir,DsFreeSus -> COPDEpsd,35075
2028-01-01,avenir,DsFreeSus -> COPDEpsd,36257
2029-01-01,avenir,DsFreeSus -> COPDEpsd,37460
2030-01-01,avenir,DsFreeSus -> COPDEpsd,38718
2031-01-01,avenir,DsFreeSus -> COPDEpsd,40031
2032-01-01,avenir,DsFreeSus -> COPDEpsd,41391
2033-01-01,avenir,DsFreeSus -> COPDEpsd,42828
2034-01-01,avenir,DsFreeSus -> COPDEpsd,44327
2035-01-01,avenir,DsFreeSus -> COPDEpsd,45886
2036-01-01,avenir,DsFreeSus -> COPDEpsd,47493
2037-01-01,avenir,DsFreeSus -> COPDEpsd,49137
2038-01-01,avenir,DsFreeSus -> COPDEpsd,50804
2039-01-01,avenir,DsFreeSus -> COPDEpsd,52507
2040-01-01,avenir,DsFreeSus -> COPDEpsd,54247
2041-01-01,avenir,DsFreeSus -> COPDEpsd,56126
2042-01-01,avenir,DsFreeSus -> COPDEpsd,58026
2043-01-01,avenir,DsFreeSus -> COPDEpsd,60048
2044-01-01,avenir,DsFreeSus -> COPDEpsd,62131
2045-01-01,avenir,DsFreeSus -> COPDEpsd,64268
2046-01-01,avenir,DsFreeSus -> COPDEpsd,66407
2047-01-01,avenir,DsFreeSus -> COPDEpsd,68582
2048-01-01,avenir,DsFreeSus -> COPDEpsd,70881
2049-01-01,avenir,DsFreeSus -> COPDEpsd,73018
2050-01-01,avenir,DsFreeSus -> COPDEpsd,75154
2051-01-01,avenir,DsFreeSus -> COPDEpsd,77456
2052-01-01,avenir,DsFreeSus -> COPDEpsd,79598
2053-01-01,avenir,DsFreeSus -> COPDEpsd,81828
2054-01-01,avenir,DsFreeSus -> COPDEpsd,84078
2055-01-01,avenir,DsFreeSus -> COPDEpsd,86286
2056-01-01,avenir,DsFreeSus -> COPDEpsd,88505
2057-01-01,avenir,DsFreeSus -> COPDEpsd,90668
2058-01-01,avenir,DsFreeSus -> COPDEpsd,92819
2059-01-01,avenir,DsFreeSus -> COPDEpsd,94914
2060-01-01,avenir,DsFreeSus -> COPDEpsd,97119
2061-01-01,avenir,DsFreeSus -> COPDEpsd,99320
2062-01-01,avenir,DsFreeSus -> COPDEpsd,101488
2063-01-01,avenir,DsFreeSus -> COPDEpsd,103681
2064-01-01,avenir,DsFreeSus -> COPDEpsd,105853
2065-01-01,avenir,DsFreeSus -> COPDEpsd,107974
2066-01-01,avenir,DsFreeSus -> COPDEpsd,110069
